comparison,feature,rank_biserial,abs_effect,p_value
human_vs_ai_base,n_chars,1.0,1.0,3.0516816575011584e-09
human_vs_ai_base,n_words,1.0,1.0,3.0457060359390283e-09
human_vs_ai_base,type_token_ratio,-0.7413194444444444,0.7413194444444444,1.1213529540228826e-05
human_vs_ai_base,avg_word_len,-0.5451388888888888,0.5451388888888888,0.0012510612291407744
human_vs_ai_base,fear_word_rate,-0.4444444444444444,0.4444444444444444,0.008500726368912954
human_vs_ai_base,quote_count,0.41145833333333326,0.41145833333333326,0.01190110588239689
human_vs_ai_base,question_count,0.40625,0.40625,0.002677472578416316
human_vs_ai_base,exclamation_count,0.25,0.25,0.010262960730969639
human_vs_ai_base,ellipsis_count,-0.25,0.25,0.010169427949829701
human_vs_ai_finetuned,n_words,1.0,1.0,2.9982749734099477e-09
human_vs_ai_finetuned,avg_word_len,-1.0,1.0,3.06366423367317e-09
human_vs_ai_finetuned,fear_word_rate,0.9166666666666667,0.9166666666666667,3.1454172947051673e-09
human_vs_ai_finetuned,ellipsis_count,-0.9166666666666666,0.9166666666666666,2.5181316971538986e-09
human_vs_ai_finetuned,exclamation_count,-0.890625,0.890625,4.849974322219939e-08
human_vs_ai_finetuned,type_token_ratio,0.7881944444444444,0.7881944444444444,3.0031422271645222e-06
human_vs_ai_finetuned,quote_count,0.6666666666666667,0.6666666666666667,3.088267904051322e-05
human_vs_ai_finetuned,question_count,0.5,0.5,9.559091642896479e-05
human_vs_ai_finetuned,n_chars,-0.44270833333333337,0.44270833333333337,0.008815631682877233
